id_persona,log_y,pred_loo,pred_cv5
4521316-1-2,13.921796645148593,13.825992115784485,13.844501635746294
4521317-1-2,14.73180128983843,13.78281910486081,13.727631011905775
4521317-1-3,14.151982794585487,14.33403344471045,14.35961132908825
4521319-1-1,12.765688433465597,13.297049361798937,13.304846253169963
4521320-1-1,13.304684934198283,13.081533555188445,13.122759721121685
4521321-1-1,13.815510557964274,14.361840431052736,14.355639649077675
4521321-1-2,13.565766324852886,13.647494675290456,13.625966675259933
4521322-1-1,13.487006490992238,13.656745897755682,13.67811397098037
4521323-1-3,12.89921982609012,12.84981548010842,12.855712598331362
4521324-1-1,13.618104195431933,13.708461936726044,13.694620161623524
4521325-1-1,14.560525661531116,14.178682550256035,14.210977405900785
4521325-1-2,13.6261930112013,13.979503607922357,14.001349878080603
4521326-1-1,14.134066102081508,14.06606883611143,14.069247724184795
4521326-1-2,13.081541382884074,13.141750021655476,13.094179397100476
4521327-1-1,13.6903253105993,14.429304455901626,14.35327493655759
4521327-1-2,14.849584325494812,14.752476646673829,14.741293328452256
4521328-1-1,14.792331789578462,14.589656949800123,14.612176322254973
4521328-1-2,14.50865773852422,13.886800237867183,13.88758486444929
4521330-1-1,14.50865773852422,13.570337364154634,13.564309769884002
4521330-1-2,13.217673557208654,13.291106049977698,13.312621568911354
4521331-1-1,12.611537753638338,12.864723149454187,12.865817665933928
4521331-1-2,13.511315561204944,13.258129670240502,13.261319742448705
4521332-1-1,13.511315561204944,13.61314917026589,13.58474059305759
4521332-1-2,13.592367006650065,13.247268599841188,13.270226052951658
4521334-1-2,13.511315561204944,13.992340754959347,14.011912979116095
4521335-1-1,14.914122846632385,14.248958248481419,14.015827912624333
4521335-1-2,12.765688433465597,13.134222715914838,13.109708688130727
4521336-1-1,14.350915617184638,13.821017100171138,13.833406745094168
4521336-1-3,13.592367006650065,13.377898455314568,13.367673647664644
4521337-1-1,14.50865773852422,13.858350385641756,13.833540549212348
4521337-1-2,13.584062226603963,13.94652448034802,13.925778447698024
4521338-1-1,13.38472764187182,13.48900581738043,13.49604251498338
4521338-1-2,14.50865773852422,13.425579537091409,13.364860238802711
4521339-1-1,14.50865773852422,13.81726582546402,13.762849475611876
4521340-1-1,13.687514673249831,13.898384885248047,13.914672133563403
4521340-1-2,13.592367006650065,13.871774622457407,13.878519103793401
4521342-1-1,13.77753866471072,14.144365059410422,14.097867736557555
4521342-1-2,13.997832114758229,12.974635909199023,12.981500225202835
4521343-1-1,13.592367006650065,13.578349518770558,13.55551256023044
4521343-1-2,13.819475997705227,13.879506981667417,13.886977077993564
4521343-2-3,13.527828485512494,13.010387243734076,12.966480768147251
4521343-2-4,13.458835614025542,13.609591973625255,13.591264360540446
4521343-2-6,10.819778284410283,11.653645082457734,11.67780761912903
4521344-1-1,13.458835614025542,13.334813966555577,13.351652552453936
4521344-1-2,11.982929094215963,12.386209270373008,12.40213357961675
4521345-1-1,13.458835614025542,12.976779542348654,12.99735673270545
4521345-1-2,13.304684934198283,13.492149201536693,13.52899895899143
4521346-1-1,13.592367006650065,13.68035497847852,13.753004677756408
4521346-1-2,12.206072645530174,13.280243648752585,13.159787203976151
4521347-1-1,13.458835614025542,13.45702387666966,13.478316606620215
4521347-1-2,13.458835614025542,13.570454081904504,13.735289578321325
4521347-1-3,13.6903253105993,14.43554281779098,14.405196129051431
4521348-1-1,13.592367006650065,13.610854009299693,13.618409221066791
4521351-1-1,14.4529688106372,14.68318825796064,14.696962207264974
4521351-1-2,13.969495545493894,14.661204502074831,14.660833098833821
4521352-1-1,14.804357551569137,14.511984897217861,14.535301445571209
4521353-1-1,13.710150042306449,13.410662004182537,13.389223197905551
4521353-1-4,13.710150042306449,13.434720171020246,13.467897871938126
4521353-1-5,13.710150042306449,13.207907392314233,13.11996164639284
4521357-1-1,12.611537753638338,13.272207412144116,13.264701771620102
4521358-1-1,13.710150042306449,13.956835979494667,13.964939957645223
4521358-1-2,13.710150042306449,13.104695200491188,13.086772035766108
4521361-1-1,14.22097566607244,13.415812294046628,13.459436204581937
4521361-1-2,13.122363377404328,13.442540084880703,13.471004595178504
4521362-1-1,12.89921982609012,13.025013584622796,12.960790140932872
